125,586
168,150
252,69
309,150
310,150
425,150
426,150
427,150
462,69
535,38
594,3
597,12
600,17
602,22
604,23
605,29
607,26
608,27
609,32
611,33
612,31
615,38
616,36
618,39
619,40
621,41
624,45
625,44
627,46
628,48
632,52
633,51
634,24
636,53
639,54
640,56
642,55
646,63
647,61
648,62
652,67
656,70
658,68
659,69
660,72
661,73
662,24
663,79
666,78
667,80
668,86
669,82
670,83
671,87
672,88
673,85
675,90
676,91
677,92
680,94
682,93
685,95
686,98
689,97
694,101
695,103
696,100
697,99
698,105
699,104
700,108
702,110
703,106
704,111
705,113
706,115
708,112
709,114
710,117
711,116
712,121
713,118
715,119
716,123
717,124
720,126
721,127
722,125
723,131
724,132
725,130
729,161
731,139
732,141
734,143
737,145
738,146
739,144
740,144
742,147
743,148
744,150
748,155
750,161
752,160
756,162
758,152
759,165
760,164
766,169
770,171
771,172
777,176
778,175
779,178
787,230
788,183
790,158
792,158
794,188
799,203
803,190
805,193
806,194
808,158
814,203
815,202
816,206
817,207
818,211
821,213
826,216
827,218
828,220
831,226
833,228
834,225
837,231
841,232
843,238
848,241
864,279
867,258
869,260
882,273
885,280
887,281
893,285
901,288
904,299
906,253
909,313
910,314
915,316
916,317
930,322
933,324
937,329
939,330
942,338
945,339
949,345
950,346
957,331
960,357
968,367
971,369
978,373
981,374
983,376
984,378
985,377
986,380
990,384
