335,286
475,468
870,353
985,42
1260,6
1261,7
1282,4
1283,5
1284,13
1285,15
1288,20
1290,19
1291,18
1296,21
1297,18
1299,23
1301,24
1302,27
1303,29
1304,31
1305,30
1307,39
1310,34
1311,35
1314,50
1316,40
1317,44
1318,42
1319,46
1322,49
1323,56
1324,57
1325,58
1326,52
1328,55
1333,59
1334,66
1336,61
1339,70
1340,70
1341,69
1342,71
1346,77
1348,72
1352,73
1353,85
1355,95
1357,82
1358,93
1359,94
1360,98
1361,91
1362,80
1364,83
1365,113
1366,86
1367,81
1368,88
1371,141
1379,89
1385,92
1387,119
1388,123
1394,144
1395,126
1398,142
1400,109
1402,131
1404,115
1407,122
1408,124
1411,152
1412,137
1413,138
1414,159
1419,151
1420,145
1423,155
1424,156
1426,148
1428,160
1431,162
1432,154
1433,165
1434,163
1435,164
1439,166
1441,175
1442,176
1443,177
1445,180
1451,174
1452,240
1460,188
1461,193
1462,191
1463,189
1465,196
1467,194
1468,195
1469,198
1470,203
1471,205
1472,197
1474,199
1475,200
1476,208
1478,201
1480,210
1481,209
1483,207
1485,215
1486,212
1487,213
1492,219
1494,221
1497,218
1499,220
1505,223
1508,225
1509,226
1511,229
1515,231
1519,373
1522,241
1525,237
1526,239
1527,240
1530,250
1532,246
1534,242
1536,245
1538,253
1539,254
1541,265
1543,256
1544,259
1545,269
1552,275
1553,277
1554,274
1555,280
1557,276
1558,282
1559,278
1560,279
1561,284
1562,290
1564,286
1565,292
1566,291
1567,285
1568,288
1569,289
1570,283
1571,287
1573,294
1574,297
1578,300
1580,302
1581,305
1582,298
1583,299
1587,327
1589,307
1590,317
1593,314
1595,324
1599,330
1600,331
1601,332
1602,335
1603,337
1605,333
1606,334
1608,255
1611,348
1612,343
1613,344
1614,345
1615,346
1618,352
1621,350
1622,951
1624,351
1626,360
1627,363
1628,361
1629,364
1635,369
1639,372
1641,373
1642,379
1644,374
1653,383
1657,382
1661,387
1662,386
1666,390
1667,388
1670,395
1671,399
1673,398
1676,402
1678,405
1679,401
1681,403
1682,408
1683,406
1686,407
1690,420
1691,418
1692,419
1693,412
1694,413
1695,414
1699,429
1701,432
1702,421
1703,426
1704,427
1707,436
1710,430
1712,435
1714,434
1717,444
1718,445
1719,390
1720,441
1721,442
1722,443
1723,446
1724,449
1727,451
1729,452
1734,460
1735,454
1736,455
1737,456
1738,457
1740,466
1741,463
1742,464
1743,467
1745,465
1746,470
1747,471
1748,468
1753,479
1754,475
1755,476
1756,472
1759,482
1760,483
1761,484
1762,486
1763,487
1764,490
1766,491
1767,489
1768,353
1769,495
1771,496
1774,493
1775,496
1776,494
1777,498
1780,499
1782,505
1783,503
1784,504
1788,507
1789,514
1790,510
1791,522
1796,520
1797,517
1798,518
1799,523
1800,524
1803,526
1807,528
1808,535
1809,533
1814,539
1819,542
1820,540
1827,547
1828,554
1829,551
1830,555
1832,553
1837,561
1841,649
1845,566
1849,567
1853,568
1858,573
1860,576
1861,575
1862,572
1864,574
1867,583
1868,585
1869,580
1870,582
1875,588
1880,590
1881,591
1883,751
1890,595
1893,600
1894,597
1895,599
1904,606
1905,604
1906,607
1907,615
1908,609
1909,611
1910,612
1913,616
1914,618
1916,619
1917,620
1918,621
1920,625
1921,623
1923,627
1924,632
1925,630
1926,633
1928,636
1929,637
1931,638
1934,639
1936,640
1937,643
1938,648
1940,654
1941,656
1944,658
1947,659
1948,660
1952,662
